AAL1160,KCLT,KPHL
AAL1161,KDFW,KORD
AAL1162,KDFW,KONT
AAL1163,KSFO,KMIA
AAL1165,KLAS,KDFW
AAL1166,KPHX,KDFW
AAL116C,PHOG,KDFW
AAL117,KJFK,KLAX
AAL1171,KMIA,KLGA
AAL1172,KORD,TIST
AAL1173,KBOS,KMIA
AAL1173,KMIA,KBDL
AAL1173,KPHX,KPDX
AAL1173,KCLT,KLGA
AAL1173,KDFW,KLGA
AAL1174,KBOS,KMIA
AAL1176,KCLT,KRSW
AAL1177,KDCA,KDFW
AAL1177,KPDX,KCLT
AAL1179DD,KORD,KSNA
AAL118,KLAX,KJFK
AAL1181,KTPA,KLGA
AAL1181,KEWR,KMIA
AAL1181,KDEN,KPHX
AAL1181,KPHX,KJFK
AAL1184,KCLT,KLAX
AAL1185,MMUN,KJFK
AAL1186,KMIA,KORD
AAL1187,KEWR,KORD
AAL1189,KBNA,KMIA
AAL1190,KDFW,MMUN
AAL1191,KCLT,KPHX
AAL1194,KCLT,KMIA
AAL1197,KAUS,KDFW
AAL1197,KBOS,KLAX
AAL1197A,KAUS,KDFW
AAL1198,KMSP,KDFW
AAL1198,KPHX,KDTW
AAL12,KLAX,KBOS
AAL1200,KDCA,KORD
AAL1200,KPHL,OTHH
AAL1201,KORD,KPHL
AAL1203,KCLT,KBUF
AAL1205,KMCO,KLAX
AAL1208,KSNA,KDFW
AAL120C,KPHL,OTHH
AAL120F,KPHL,OTHH
AAL1210,MMUN,KCLT
AAL1211,KPHL,KMSY
AAL1212,KTPA,KMIA
AAL1212AF,KTPA,KMIA
AAL1218,KDCA,KPHX
AAL1218F,KDCA,KPHX
AAL1222,KLGA,KMIA
AAL1224,KPHL,KRSW
AAL1225,KATL,KLAX
AAL1226,KMIA,KDFW
AAL1228,KMCO,KLGA
AAL1228,KMIA,KIAH
AAL1233,KLAX,KDCA
AAL1236,KPHL,KSAN
AAL1239,KLAX,KBOS
AAL1243,KBOS,KLAX
AAL1244,KLGA,KMIA
AAL1244,KLGA,KRSW
AAL1244,KBOS,KCLT
AAL1247,KLAX,KDFW,KLAX
AAL1249,KBOS,KCLT
AAL1253,KORD,KSFO
AAL1255,KMIA,KDCA
AAL1255,KMIA,KLGA
AAL1255,KMIA,KSAT
AAL1255,MMMX,KCLT
AAL1255,KPHL,KRDU
AAL1259,KBOS,KMIA
AAL1261,KCLT,KDFW
AAL1262,KPHL,MMUN
AAL1262A,KPHL,MMUN
AAL1262B,KPHL,MMUN
AAL1264,KTPA,KLGA
AAL1264,KLGA,KFLL
AAL1267,KBOS,KDCA
AAL1268,KMIA,KDTW
AAL1275,KORD,KSAT
AAL1282,KSAT,KDFW
AAL1283,KMCO,KORD
AAL1283,KJFK,KPHX
AAL1283,KLGA,KMCO
AAL1283,KBOS,KDCA
AAL1299,KMIA,KDFW
AAL1301,KJFK,MMMX
AAL1301,MMMX,KDFW
AAL1301,KBNA,KLAX
AAL1301,KPHX,KJFK
AAL1301,KMFE,KDFW
AAL1303,KCLT,KDFW
AAL1309,KMIA,KPHL
AAL1310,KDTW,KPHX
AAL1313,KPHL,KDEN
AAL1313,KMIA,KSTL
AAL1318,KSTL,KMIA
AAL1318F,KSTL,KMIA
AAL1320,KMSP,KPHX
AAL1320FD,KMSP,KPHX
AAL1323,KCLT,KLAS
AAL1328,KBOS,KORD
AAL1329,KPHL,KPHX
AAL1329,KPHL,KBOS
AAL1329AC,KPHL,KBOS
AAL1329B,KPHL,KBOS
AAL1332,KPHL,KEYW
AAL1335,KPHL,KPHX
AAL1335A,KPHL,KPHX
AAL1335AC,KPHL,KPHX
AAL1335B,KPHL,KPHX
AAL1336,KDFW,KMCO
AAL1337,KDFW,KEYW
AAL1339,KTPA,KPHL
AAL1339,KCLT,KPHL
AAL1340,KFLL,KDFW
AAL1344,KPHL,MWCR
AAL1346,KPBI,KLGA
AAL1346,KORD,KDFW
AAL1347,KORD,KBOS
AAL1347,KDFW,KBWI
AAL1347,KCLT,KJAX
AAL1347,KDFW,KBDL
AAL1349,KAUS,KJFK
AAL1349FC,KAUS,KJFK
AAL1350,KDFW,KRSW
AAL1350,KCLT,KPVD
